quem nao foi ver ainda essa maravilha de filme na moral .. vao . vcs nao irao se arrepender que filme meuza migos,positivo
eu odeio esse filme,negativo
que merda de filme,negativo
odeio essa bosta de filme,negativo
que lixo de filme,negativo
odeio filme de terror,negativo
que filme de merda esse dos transformers,negativo
odeio esse filme dos minions q porra chataaaa,negativo
que filme mais chato,negativo
filme chato sem graca,negativo
filme chato sem nao gostei,negativo
que coisa hororosa filme chato sem nao gostei,negativo
que merda e essa filme chato,negativo
ansioso por esse filme mesmo ,positivo
se eu ver esse filme menos de 5 vezes no cinema.. eu mudo meu nome,positivo
meu irmao ta aq deitado cmg vendo filme ,positivo
mas va quero ir ver este filme e muito mesmo ,positivo
preciso ver esse filme,positivo
eu amo esse filme meu deus sempre choro com ele )- ,positivo
socorro levei um susto to vendo filme d terror to me borrando,positivo
se um filme me recordar troque o canal e so desligar,negativo
acabei de conhecer esse lugar chamado fora de casa. achei minha vida levemente parecida com o filme o quarto de jack. levemente.,positivo
quem diria que eu usaria a camisa da guerra civil que comprei em 2007 quando lia os quadrinhos pra ver o filme em 2016 ce eh loko,positivo
e cada filme idiota que eu assisto,negativo
nem lancou e ja se tornou meu filme favorito  ,positivo
esse filme de terrorista que ta passando e bem cabuloso no,positivo
como vou fazer trabalho assim  oq combina com o frio e filme e coberta nao lapis e materia  ,positivo
acabou o filme,neutro
depois do filme de ontem to curtindo muito musica eletronica,positivo
essa tarde tava boa p passar o dia vendo filme deitado com alguem ,positivo
alguem que ja assitiu premonicao 5 pra me dizer se o filme e bom  ,neutro
o q o david vai participar no filme refrigerantes e cancoes de amor,neutro
bianca ate q fim me chamo p faze algo q preste. filme pipoca amp; chocolate,positivo
 querendo ou nao clexa foi a mais bela historia de amor lesbico de todos os tempo.melhor ate do que o filme 'carol'.,positivo
gente que filme mais lindinho ,positivo
hj o dia pede filme+pipoca+chocolate+nova+cama=dia perfeito,positivo
amanha assim que chegar do filme vou sair dando spoiler,negativo
vou olhar um filme e dormir melhor coisa nesse friozinho,positivo
acho que so faltou o encontro da anna com o lievenmas entendi porque tiraramficaria fora de contexto no final do filme,neutro
quer dizer que tao fazendo um filme do snowden entao,neutro
vou ver um filme aq,neutro
assistindo o filme do alt-j,neutro
pauline kael dizia muito bem nao existe filme antigo; existe so filme que voce ainda nao viu.  ,positivo
que tipos de filme voce gosta - qualquer um menos os de ficcao desculpa mundoooooo   ,negativo
vou procurar filme de terror p assistir,neutro
coisa linda fica deitado assistindo filme fazer um amorzin,positivo
 o capitao morre na hq mas eu acho q no filme ele nao morre n,neutro
vou fazer um brigadeiro e assistir filme..,positivo
eu e minha irma vamos asistir filme fazer pipoca e chocolate quente e ficar assim a tarde toda embaixo das cobertas ,positivo
eu nao sei se vou rir quando o filme sair ou vou chorar,neutro
nesse friu sessao da tarde podia ajuda com um filme bom pra reviver a infancia,positivo
o filme everest e tao triste c,neutro
friozinho gostoso vou fica deitado msm vendo filme,positivo
  kkkk faz pouco tempo que passou uma reportagem sobre uma cena de td+ que o tiago assuncao ira assistir o filme casa blanca ,positivo
gostei de um video   - o filme - pt 1,positivo
todos os dias eu to vendo filme triste de amor,positivo
